SubscriptionName,PolicyName,RetentionDays,RetentionWeeks,RetentionMonths,RetentionYears,IncrementalRetentionDays,SchedulePolicyType,ScheduleRunFrequency,ScheduleRunDays,WorkloadType,ResourceGroup,RecoveryServicesVault
Sub-MoogGov-SAP-Prod,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAGV-ADSAP-Backup,rsv-usagv-adsap-backup
Sub-MoogGov-SAP-Prod,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAGV-ADSAP-Backup,rsv-usagv-adsap-backup
Production Moog Portal,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAGA-DataServices-Recovery,RSV-USAGA-DataServices-Recovery
Production Moog Portal,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAGA-DataServices-Recovery,RSV-USAGA-DataServices-Recovery
Production Moog Portal,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAGA-DataServices-Recovery,RSV-USAGA-DataServices-Recovery
Production Moog Portal,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAGA-Systems,RSV-USAGA-SYSTEMS
Production Moog Portal,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAGA-Systems,RSV-USAGA-SYSTEMS
Production Moog Portal,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAGA-Systems,RSV-USAGA-SYSTEMS
Production Moog Portal,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAGT-Systems,vault149
Production Moog Portal,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAGT-Systems,vault149
Production Moog Portal,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAGT-Systems,vault149
Sub-MoogGov-SAP-Dev,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAGV-ADSAP-3-Backup-Dev,rsv-usagv-adsap-3-backup-dev
Sub-MoogGov-SAP-Dev,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAGV-ADSAP-3-Backup-Dev,rsv-usagv-adsap-3-backup-dev
Sub-MoogGov-SAP-Dev,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAGV-ADSAP-3-Backup-Dev,rsv-usagv-adsap-3-backup-dev
Sub-MoogGov-SAP-Dev,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAGV-ADSAP-3-Backup-QA,rsv-usagv-adsap-3-backup-qa
Sub-MoogGov-SAP-Dev,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAGV-ADSAP-3-Backup-QA,rsv-usagv-adsap-3-backup-qa
Sub-MoogGov-SAP-Dev,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAGV-ADSAP-3-Backup-QA,rsv-usagv-adsap-3-backup-qa
Sub-MoogGov-SAP-Dev,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAGV-ADSAP-4-Backup-QA,rsv-usagv-adsap-4-backup-qa
Sub-MoogGov-SAP-Dev,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAGV-ADSAP-4-Backup-QA,rsv-usagv-adsap-4-backup-qa
Sub-MoogGov-SAP-Dev,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAGV-ADSAP-4-Backup-QA,rsv-usagv-adsap-4-backup-qa
Sub-MoogGov-SAP-Dev,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAGV-ADSAP-Backup-Dev,rsv-usagv-adsap-backup-dev
Sub-MoogGov-SAP-Dev,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAGV-ADSAP-Backup-Dev,rsv-usagv-adsap-backup-dev
