SubscriptionName,PolicyName,RetentionDays,RetentionMonths,RunFreq,IdSegment,RecoveryServicesVault,SnapshotRetentionDays,SnapshotType
Sub-MoogGov-CollaborationMessaging-NonProd,VirtualMachine-Tier3,30,1,Daily,vaults,RSV-USAGV-CMS-Backup-NP,2,null
Sub-MoogGov-SAP-Dev,VirtualMachine-Tier3,30,1,Daily,vaults,rsv-usagv-adsap-3-backup-dev,5,null
Sub-MoogGov-SAP-Dev,VirtualMachine-Tier2,30,6,Daily,vaults,rsv-usagv-adsap-3-backup-dev,5,null
Sub-MoogGov-SAP-Dev,VirtualMachine-Tier1,30,13,Daily,vaults,rsv-usagv-adsap-3-backup-dev,5,null
Sub-MoogGov-SAP-Dev,VirtualMachine-Tier2,30,6,Daily,vaults,rsv-usagv-adsap-3-backup-qa,5,null
Sub-MoogGov-SAP-Dev,VirtualMachine-Tier1,30,13,Daily,vaults,rsv-usagv-adsap-3-backup-qa,5,null
Sub-MoogGov-SAP-Dev,VirtualMachine-Tier3,30,13,Daily,vaults,rsv-usagv-adsap-3-backup-qa,5,null
Sub-MoogGov-SAP-Dev,VirtualMachine-Tier3,30,1,Daily,vaults,rsv-usagv-adsap-4-backup-qa,5,null
Sub-MoogGov-SAP-Dev,VirtualMachine-Tier1,30,13,Daily,vaults,rsv-usagv-adsap-4-backup-qa,5,null
Sub-MoogGov-SAP-Dev,VirtualMachine-Tier2,30,6,Daily,vaults,rsv-usagv-adsap-4-backup-qa,5,null
Sub-MoogGov-SAP-Dev,VirtualMachine-Tier2,30,6,Daily,vaults,rsv-usagv-adsap-backup-dev,5,null
Sub-MoogGov-SAP-Dev,VirtualMachine-Tier1,30,13,Daily,vaults,rsv-usagv-adsap-backup-dev,5,null
Sub-MoogGov-SAP-Dev,VirtualMachine-Tier3,30,1,Daily,vaults,rsv-usagv-adsap-backup-dev,5,null
Sub-MoogGov-SAP-Dev,VirtualMachine-Tier1,30,13,Daily,vaults,rsv-usagv-adsap-backup-np,5,null
Sub-MoogGov-SAP-Dev,VirtualMachine-Tier3,30,1,Daily,vaults,rsv-usagv-adsap-backup-np,5,null
Sub-MoogGov-SAP-Dev,VirtualMachine-Tier2,30,6,Daily,vaults,rsv-usagv-adsap-backup-np,5,null
Sub-MoogGov-SAP-Dev,VirtualMachine-Tier2,30,6,Daily,vaults,rsv-usagv-adsap-backup-qa,5,null
Sub-MoogGov-SAP-Dev,VirtualMachine-Tier1,30,13,Daily,vaults,rsv-usagv-adsap-backup-qa,5,null
Sub-MoogGov-SAP-Dev,VirtualMachine-Tier3,30,1,Daily,vaults,rsv-usagv-adsap-backup-qa,5,null
Sub-MoogGov-SAP-Dev,VirtualMachine-Tier2,30,6,Daily,vaults,rsv-usagv-adsap-backup-sb,5,null
Sub-MoogGov-SAP-Dev,VirtualMachine-Tier3,30,1,Daily,vaults,rsv-usagv-adsap-backup-sb,5,null
Sub-MoogGov-SAP-Dev,VirtualMachine-Tier1,30,13,Daily,vaults,rsv-usagv-adsap-backup-sb,5,null
Sub-MoogGov-SAP-Dev,VirtualMachine-Tier2,30,6,Daily,vaults,rsv-usagv-adsap-backup-trn,5,null
Sub-MoogGov-SAP-Dev,VirtualMachine-Tier1,30,13,Daily,vaults,rsv-usagv-adsap-backup-trn,5,null
Sub-MoogGov-SAP-Dev,VirtualMachine-Tier3,30,1,Daily,vaults,rsv-usagv-adsap-backup-trn,5,null
Sub-MoogGov-SAP-Dev,VirtualMachine-Tier1,30,13,Daily,vaults,rsv-usaga-adsap-backup-dev,5,null
Sub-MoogGov-SAP-Dev,VirtualMachine-Tier2,30,6,Daily,vaults,rsv-usaga-adsap-backup-dev,5,null
Sub-MoogGov-SAP-Dev,VirtualMachine-Tier3,30,1,Daily,vaults,rsv-usaga-adsap-backup-dev,2,null
Sub-MoogGov-SAP-Dev,VirtualMachine-Tier1,30,13,Daily,vaults,rsv-usaga-adsap-backup-np,5,null
Sub-MoogGov-SAP-Dev,VirtualMachine-Tier3,30,1,Daily,vaults,rsv-usaga-adsap-backup-np,5,null
Sub-MoogGov-SAP-Dev,VirtualMachine-Tier2,30,6,Daily,vaults,rsv-usaga-adsap-backup-np,5,null
Sub-MoogGov-Core-Security,VirtualMachine-Tier2,30,6,Daily,vaults,RSV-USAGV-Security-Backup,5,null
Sub-MoogGov-Core-Security,VirtualMachine-Tier1,30,23,Daily,vaults,RSV-USAGV-Security-Backup,5,null
Sub-MoogGov-Core-Security,VirtualMachine-Tier3,14,1,Daily,vaults,RSV-USAGV-Security-Backup,2,null
Sub-MoogGov-Core-Identity,VirtualMachine-Tier2,30,6,Daily,vaults,RSV-USAGV-Identity-Backup,5,null
Sub-MoogGov-Core-Identity,VirtualMachine-Tier1,30,13,Daily,vaults,RSV-USAGV-Identity-Backup,5,null
Sub-MoogGov-Core-Identity,VirtualMachine-Tier3,30,1,Daily,vaults,RSV-USAGV-Identity-Backup,2,null
Sub-MoogGov-Core-Identity,VirtualMachine-Tier2,30,6,Daily,vaults,RSV-USAGA-Identity-Backup,5,null
Sub-MoogGov-Core-Identity,VirtualMachine-Tier1,30,13,Daily,vaults,RSV-USAGA-Identity-Backup,5,null
Sub-MoogGov-Core-Identity,VirtualMachine-Tier3,30,1,Daily,vaults,RSV-USAGA-Identity-Backup,2,null
Sub-MoogGov-Core-Identity,VirtualMachine-Tier2,30,6,Daily,vaults,RSV-USAGT-Identity-Backup,5,null
Sub-MoogGov-Core-Identity,VirtualMachine-Tier1,30,13,Daily,vaults,RSV-USAGT-Identity-Backup,5,null
Sub-MoogGov-Core-Identity,VirtualMachine-Tier3,30,1,Daily,vaults,RSV-USAGT-Identity-Backup,2,null
Sub-MoogGov-AG-AOS-Prod,VirtualMachine-Tier3,30,1,Daily,vaults,RSV-USAGV-AOS-Backup,2,null
Sub-MoogGov-AG-AOS-Prod,VirtualMachine-Tier1,30,13,Daily,vaults,RSV-USAGV-AOS-Backup,5,null
Sub-MoogGov-AG-AOS-Prod,VirtualMachine-Tier2,30,6,Daily,vaults,RSV-USAGV-AOS-Backup,5,null
