VM Name,Resource Group,Subscription
USAE2SVPXERP001,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXERP002,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXERP003,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXERP004,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXERP006,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXERP007,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXERP008,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXERP009,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXERP011,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXERP012,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXERP014,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXERP016,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXERP017,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXERP020,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXERP021,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXERP022,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXERP023,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXERP025,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXERP026,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXERP027,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXERP031,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXERP032,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXERP033,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXERP034,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXERP035,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXGEN018,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
NLAW2SDXVDP26,RG-NLAW2-CITRIX-INFRASTRUTURE-VIRTUALDESKTOPS-PROD02,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXWPS011,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXWPS012,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXWPS013,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXWPS014,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXWPS015,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXWPS016,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXWPS017,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXWPS018,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXWPS019,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXWPS020,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
NLAW2SVPXSHD001,RG-NLAW2-CITRIX-INFRASTRUTURE-VIRTUALDESKTOPS-PROD05,Sub-Moog-Commercial-EndUserVirtualization-Prod
NLAW2SVPXSHD002,RG-NLAW2-CITRIX-INFRASTRUTURE-VIRTUALDESKTOPS-PROD05,Sub-Moog-Commercial-EndUserVirtualization-Prod
NLAW2SVPXSHD003,RG-NLAW2-CITRIX-INFRASTRUTURE-VIRTUALDESKTOPS-PROD05,Sub-Moog-Commercial-EndUserVirtualization-Prod
NLAW2SVUXSHD005,RG-NLAW2-CITRIX-INFRASTRUTURE-VIRTUALDESKTOPS-PROD05,Sub-Moog-Commercial-EndUserVirtualization-Prod
NLAW2SVUXSHD006,RG-NLAW2-CITRIX-INFRASTRUTURE-VIRTUALDESKTOPS-PROD05,Sub-Moog-Commercial-EndUserVirtualization-Prod
NLAW2SVUXSHD007,RG-NLAW2-CITRIX-INFRASTRUTURE-VIRTUALDESKTOPS-PROD05,Sub-Moog-Commercial-EndUserVirtualization-Prod
,,Sub-MoogComm-CloudCenterOfExcellence-Governance-Prod
,,Sub-MoogComm-Core-DevOps-NonProd
,,Visual Studio Enterprise Subscription
,,Visual Studio Enterprise Subscription
,,Visual Studio Professional
,,Visual Studio Enterprise Subscription
,,Visual Studio Enterprise
,,Azure subscription 1
vm-mc-test-1,RG-TESTING-VMS,Visual Studio Enterprise Subscription
vm-mc-test-4,RG-TESTING-VMS,Visual Studio Enterprise Subscription
vm-mc-test-5,RG-TESTING-VMS,Visual Studio Enterprise Subscription
,,Visual Studio Professional
,,Azure subscription 1
,,Visual Studio Enterprise
,,Visual Studio Enterprise Subscription
,,Visual Studio Enterprise Subscription
,,Pay-As-You-Go
,,Pay-As-You-Go
,,Visual Studio Enterprise
USAE2SVASRT01-test,RG-USAZ2-ASR-TEST,Visual Studio Enterprise Subscription
,,Pay-As-You-Go
DynatraceTestLinuxMachine,VM-AJS-TEST_GROUP,Visual Studio Enterprise Subscription
,,Visual Studio Enterprise Subscription
Billm-Ubuntu-test,BILLMTESTRG,BillMEnterprise
,,Azure subscription 1
,,Azure subscription 1
,,Visual Studio Professional Subscription
,,Visual Studio Enterprise Subscription
,,Azure DevTest subscription 1
,,Visual Studio Enterprise Subscription
,,Ian-Personal-Subscription
,,Visual Studio Enterprise
,,Visual Studio Enterprise
ToolboxTestVM,TOOLBOXTESTGROUP,Visual Studio Enterprise Subscription
cvg-sim-cmp-licenceserver,CVG-SIM-CMP-RG,Sub-MoogInno-Aircraft-Convergence-NonProd
cvg-sim-img-plantsimvm,CVG-SIM-IMG-RG,Sub-MoogInno-Aircraft-Convergence-NonProd
moog-gensynth1-vm-gpu1,MOOG-GENSYNTH1-RSGRP,Sub-Moog-Innovation-DarwinAI-Development
,,Azure subscription 1
moog-ag-ant-test,AG-INNOVATION-VIDEO-TEST,Sub-Moog-Innovation
ares-dev-vm,ARES-DEV-BACKEND,Sub-Moog-Innovation
vm-woojin-test-2,RG-WOOJIN-TEST,Sub-Moog-Innovation
dotnet-edgeVM,IOTEDGE_RG,Sub-Moog-Innovation
IoT-Edge-VM,IOTEDGE_RG,Sub-Moog-Innovation
