Subscription,Resource Group,VM Name,OS,Auto Update Enabled
Moog-Azure-IaaS,RG-GBAZ1-Horizons,gbaz1svHORIZ01,Windows,No
Moog-Azure-IaaS,RG-USAE2-PRD-MDGDashboard,cral1svapplx1,Linux,Yes
Moog-Azure-IaaS,RG-NLAW2-PRD-MDGSolidworks,NLAW2SVMDGPDM01,Windows,Yes
Moog-Azure-IaaS,RG-USAE2-PRD-MDGWebApache,USAE2SVMDGWEB03,Windows,Yes
Moog-Azure-IaaS,RG-USAE2-PRD-MDGSharedApps,cral1svmailapp1,Windows,Yes
Moog-Azure-IaaS,RG-USAE2-PRD-MDGSharedApps,slmsfwebtst,Windows,No
Moog-Azure-IaaS,RG-USAE2-PRD-MDGSharedApps,USAE2SVMDGAPP01,Windows,Yes
Moog-Azure-IaaS,RG-USAE2-PRD-MDGCRTime,USAE2SVMDGTAA01,Windows,Yes
Moog-Azure-IaaS,RG-GBAZ1-Veeam,GBAZ1SVPVBOM01,Windows,No
Moog-Azure-IaaS,RG-GBAZ1-Veeam,GBAZ1SVVBOP01,Windows,Yes
Moog-Azure-IaaS,RG-GBAZ1-Veeam,GBAZ1SVVBOP02,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAE2SVCORPDC01,Windows,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAE2SVMOOGADDV,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-Directory,usae2svpcaasdc1,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAE2WAP03,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAE2WAP04,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureADDS01,Windows,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureADDS02,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureADFS03,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureADFS04,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureAUDC01,Windows,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureBRDC01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureCHIDC01,Windows,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureCHTDC01,Windows,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureCNDC01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureCORPDVDC,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureDEDC01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureIEDC01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureINDC01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureITDC01,Windows,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAzureJPDC01,Windows,Yes
