Subscription,Resource Group,VM Name,Change Tracking Enabled
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-Keycloak-QA,usaz2svqatkc01,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-Keycloak-QA,usaz2svqatkc02,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-Keycloak-SB,usaz2svsatkc01,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-Keycloak-SB,usaz2svsatkc02,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-Application-SB,usaz2svsatweb01,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-Application-SB,usaz2svsatweb02,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-Application-SB,usaz2svsatweb03,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-WebClock-Dev,usaz2svdatwebclk01,No
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-Corporate-Xerox-Workplace-App-NP,usaz2nxws01,No
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-Corporate-Xerox-Workplace-Printserver-NP,usaz2nxwsps01,No
Subscription-Moog-Commercial-Dev/Test,databricks-rg-sfbaguiodatabricks-qsbnaxtyk4oke,5e340b01bd07473c8ac64b0855326555,No
Subscription-Moog-Commercial-Dev/Test,databricks-rg-sfbaguiodatabricks-qsbnaxtyk4oke,e4a6fd45bb364e7e8bb9b6a06dd7d4b0,No
Subscription-Moog-Commercial-Dev/Test,RG-Alex-Test,testvm,No
Subscription-Moog-Commercial-Dev/Test,RG-USAE2-Dashboard-CostaRica-Dev,usae2ddashcr01,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAE2-LN-DFRuntime-Dev,usae2dlndfrt01,No
Subscription-Moog-Commercial-Dev/Test,RG-USAE2-LN-Badge-Dev,usae2dbadge01,No
Subscription-Moog-Commercial-Dev/Test,RG-USAE2-LN-inthub-Dev,usae2dinthub01,No
Subscription-Moog-Commercial-Dev/Test,RG-USAE2-LN-DFRuntime-Test,usae2xlndfrt01,No
Subscription-Moog-Commercial-Dev/Test,RG-Moog-Shipexec-Dev,usaz2svshpexd01,No
Sub-MoogComm-Corp-Analytics-US-Prod,RG-USAE2-Analytics-IRE-MBS,usae2pint01,No
Sub-MoogComm-Corp-Analytics-US-Prod,RG-USAE2-Analytics-IRE-S4,usae2pint03,No
Sub-MoogComm-Corp-Analytics-US-Prod,RG-USAE2-Analytics-IRE-PURVIEW,usae2pint05,No
Sub-MoogComm-Corp-Analytics-US-Prod,databricks-rg-adbsusae2medwprod-r72sb6ppqezza,01aa87bcdb7a47ed8fb7e4e0c56d0094,No
Sub-MoogComm-Corp-Analytics-US-Prod,databricks-rg-adbsusae2medwprod-r72sb6ppqezza,116156e57fd349889b21192b88e8795b,No
Sub-MoogComm-Corp-Analytics-US-Prod,databricks-rg-adbsusae2medwprod-r72sb6ppqezza,30894a31c3304bb38ddcaba3a7192fb9,No
Sub-MoogComm-Corp-Analytics-US-Prod,databricks-rg-adbsusae2medwprod-r72sb6ppqezza,3da3d02c54c744908aa879df37d76f3b,No
Sub-MoogComm-Corp-Analytics-US-Prod,databricks-rg-adbsusae2medwprod-r72sb6ppqezza,4ed7612f01b546d4b0c70d07fdec9359,No
Sub-MoogComm-Corp-Analytics-US-Prod,databricks-rg-adbsusae2medwprod-r72sb6ppqezza,634f58f142244b58b9f7ebf7c7951fcf,No
Sub-MoogComm-Corp-Analytics-US-Prod,databricks-rg-adbsusae2medwprod-r72sb6ppqezza,641918e53f304925a3d99345d4a683a6,No
Sub-MoogComm-Corp-Analytics-US-Prod,databricks-rg-adbsusae2medwprod-r72sb6ppqezza,666d78c14aa24e49b11928e5b3c164dc,No
Sub-MoogComm-Corp-Analytics-US-Prod,databricks-rg-adbsusae2medwprod-r72sb6ppqezza,707d565f8c224ce2b8fa19300c8a9732,No
Sub-MoogComm-Corp-Analytics-US-Prod,databricks-rg-adbsusae2medwprod-r72sb6ppqezza,7d5785c6433347e383bdcacc24fb973d,No
Sub-MoogComm-Corp-Analytics-US-Prod,databricks-rg-adbsusae2medwprod-r72sb6ppqezza,a49982d861874ba6bff65cf00180020e,No
Sub-MoogComm-Corp-Analytics-US-Prod,databricks-rg-adbsusae2medwprod-r72sb6ppqezza,cce39461bd6142fab252afc44b8b41b3,No
Sub-MoogComm-Corp-Analytics-US-Prod,databricks-rg-adbsusae2medwprod-r72sb6ppqezza,d58a1a3106ce4246a02f4398f4ce0f48,No
Sub-MoogComm-Corp-Analytics-US-Prod,databricks-rg-adbsusae2medwprod-r72sb6ppqezza,e30710a26132443398fef9484ff82386,No
Sub-MoogComm-Corp-Analytics-US-Prod,databricks-rg-adbsusae2medwprod-r72sb6ppqezza,fbdba9592d9a47d7a25c44b648cc726d,No
Sub-MoogComm-Corp-Analytics-US-Prod,RG-USAE2-Analytics-Power-BI-Gateway,usae2pprwbi01,No
Sub-MoogComm-Corp-Analytics-US-Prod,RG-USAE2-Analytics-Power-BI-Gateway,usae2pprwbi02,No
Sub-MoogComm-Corp-Analytics-US-Prod,RG-USAE2-Analytics-EDW-01,usae2pedw01,Yes
Sub-MoogComm-Corp-Analytics-US-Prod,RG-USAE2-Analytics-EDW-01,usae2pedw02,No
Sub-MoogComm-Corp-Analytics-US-Prod,RG-USAE2-Analytics-EDW-03,usae2pedw03,No
Sub-MoogComm-Corp-Analytics-US-Prod,RG-USAE2-Analytics-EDW-03,usae2pedw04,No
Sub-MoogComm-Corp-Analytics-US-Prod,RG-USAE2-Analytics-EDW-05,usae2pedw05,No
Sub-MoogComm-Corp-Analytics-US-Prod,RG-USAE2-Analytics-EDW-05,usae2pedw06,No
Sub-MoogComm-Corp-Analytics-US-Prod,RG-USAE2-Workday-Inthub-Prod,usae2pinthub01,Yes
Sub-MoogComm-Corp-Analytics-US-Prod,RG-USAE2-Workday-Inthub-Prod,usae2pinthub02,Yes
Sub-MoogComm-Corp-Analytics-US-Prod,RG-USAZ2-Workday-Inthub-Prod,usaz2pinthub01,No
Moog-Azure-IaaS,RG-CAAZ1-Network,CAAZ1SV-VCE01,No
Moog-Azure-IaaS,RG-CAAZ1-Network,CAAZ1SVVCEJMP01,No
Moog-Azure-IaaS,RG-CAAZ1-Veeam,CAAZ1SVVLP01,No
Moog-Azure-IaaS,RG-Moog-Shipexec-Prod,usaz2svshpexp01,No
Moog-Azure-IaaS,RG-Moog-Americas-IndySoftware,usae2svindysoft,No
Moog-Azure-IaaS,RG-Moog-Americas-Tibco,usae2svtibd01,No
Moog-Azure-IaaS,RG-USAE2-OpenDNS,USAE2SVODVA01,No
Moog-Azure-IaaS,RG-USAE2-OpenDNS,USAE2SVODVA02,No
Moog-Azure-IaaS,RG-IEAZ1-Network,IEAZ1SV-VCE01,No
Moog-Azure-IaaS,RG-IEAZ1-Network,IEAZ1SVVCEJMP01,No
Moog-Azure-IaaS,RG-AUAZ1-NETWORK,AUAZ1SV-VCE01,No
Moog-Azure-IaaS,RG-AUAZ1-NETWORK,AUAZ1SVVCEJMP01,No
Moog-Azure-IaaS,RG-AUAZ1-VEEAM,AUAZ1SVVLP01,No
Moog-Azure-IaaS,RG-GBAZ1-Horizons,gbaz1svHORIZ01,No
Moog-Azure-IaaS,RG-USAE2-PRD-MDGDashboard,cral1svapplx1,No
Moog-Azure-IaaS,RG-NLAW2-PRD-MDGSolidworks,NLAW2SVMDGPDM01,No
Moog-Azure-IaaS,RG-USAE2-PRD-MDGWebApache,USAE2SVMDGWEB03,No
Moog-Azure-IaaS,RG-USAE2-PRD-MDGSharedApps,cral1svmailapp1,No
Moog-Azure-IaaS,RG-USAE2-PRD-MDGSharedApps,slmsfwebtst,No
Moog-Azure-IaaS,RG-USAE2-PRD-MDGSharedApps,USAE2SVMDGAPP01,No
Moog-Azure-IaaS,RG-USAE2-PRD-MDGCRTime,USAE2SVMDGTAA01,No
Moog-Azure-IaaS,RG-GBAZ1-Veeam,GBAZ1SVPVBOM01,No
Moog-Azure-IaaS,RG-GBAZ1-Veeam,GBAZ1SVVBOP01,No
Moog-Azure-IaaS,RG-GBAZ1-Veeam,GBAZ1SVVBOP02,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAE2SVCORPDC01,No
Moog-Azure-IaaS,RG-Moog-Americas-Directory,USAE2SVMOOGADDV,No
