Subscription Name,VM Name,Resource Group,Update Group,Location,Maintenance Configuration ID
Subscription-Moog-Commercial-Dev/Test,beyondtrustrs01,RG-USAE2-CORE-SECURITY-STORAGE-NP,Appliance,eastus2,null
Subscription-Moog-Commercial-Dev/Test,beyondtrustrs02,RG-USAE2-CORE-SECURITY-STORAGE-NP,Appliance,eastus2,null
Subscription-Moog-Commercial-Dev/Test,usae2ddashcr01,RG-USAE2-DASHBOARD-COSTARICA-DEV,SLOW3-Sun-Prod,eastus2,null
Subscription-Moog-Commercial-Dev/Test,usae2dbadge01,RG-USAE2-LN-BADGE-DEV,FAST1-Thur-NonProd,eastus2,Fast1-USAE2-Dev-Test
Subscription-Moog-Commercial-Dev/Test,usae2dlndfrt01,RG-USAE2-LN-DFRUNTIME-DEV,FAST1-Thur-NonProd,eastus2,Fast1-USAE2-Dev-Test
Subscription-Moog-Commercial-Dev/Test,usae2xlndfrt01,RG-USAE2-LN-DFRUNTIME-TEST,FAST1-Thur-NonProd,eastus2,Fast1-USAE2-Dev-Test
Subscription-Moog-Commercial-Dev/Test,usae2dinthub01,RG-USAE2-LN-INTHUB-DEV,FAST1-Thur-NonProd,eastus2,Fast1-USAE2-Dev-Test
Subscription-Moog-Commercial-Dev/Test,usaz2svshpexd01,RG-MOOG-SHIPEXEC-DEV,FAST1-Thur-NonProd,centralus,Fast1-USAZ2-DevTest
Subscription-Moog-Commercial-Dev/Test,USAZ2SVSSYNIR01,RG-USAZ2-AIRCRAFTCOMMANDCENTER-SANDBOX,FAST1-Thur-NonProd,centralus,Fast1-USAZ2-DevTest
Subscription-Moog-Commercial-Dev/Test,usaz2svmwapp03,RG-USAZ2-AMERICAS-MOOGWEBCONTENT,FAST1-Thur-NonProd,centralus,Fast1-USAZ2-DevTest
Subscription-Moog-Commercial-Dev/Test,usaz2xautapp01,RG-USAZ2-AUTOMIC-ENGINE-TEST,Custom3-Sun-Prod,centralus,null
Subscription-Moog-Commercial-Dev/Test,usaz2svdatweb01,RG-USAZ2-AUTOTIME-APPLICATION-DEV,Custom1-Tue-Prod,centralus,Custom1-USAZ2
Subscription-Moog-Commercial-Dev/Test,usaz2svqatweb01,RG-USAZ2-AUTOTIME-APPLICATION-QA,Custom1-Tue-Prod,centralus,Custom1-USAZ2
Subscription-Moog-Commercial-Dev/Test,usaz2svqatweb02,RG-USAZ2-AUTOTIME-APPLICATION-QA,Custom2-Thur-Prod,centralus,Custom2-USAZ2-DevTest
Subscription-Moog-Commercial-Dev/Test,usaz2svsatweb01,RG-USAZ2-AUTOTIME-APPLICATION-SB,Custom1-Tue-Prod,centralus,Custom1-USAZ2
Subscription-Moog-Commercial-Dev/Test,usaz2svsatweb02,RG-USAZ2-AUTOTIME-APPLICATION-SB,Custom2-Thur-Prod,centralus,Custom2-USAZ2-DevTest
Subscription-Moog-Commercial-Dev/Test,usaz2svsatweb03,RG-USAZ2-AUTOTIME-APPLICATION-SB,Custom2-Thur-Prod,centralus,Custom2-USAZ2-DevTest
Subscription-Moog-Commercial-Dev/Test,usaz2svdatadf01,RG-USAZ2-AUTOTIME-DATAFACTORY-DEV,Custom1-Tue-Prod,centralus,Custom1-USAZ2
Subscription-Moog-Commercial-Dev/Test,usaz2svqatadf01,RG-USAZ2-AUTOTIME-DATAFACTORY-QA,Custom1-Tue-Prod,centralus,Custom1-USAZ2
Subscription-Moog-Commercial-Dev/Test,usaz2svqatadf02,RG-USAZ2-AUTOTIME-DATAFACTORY-QA,Custom2-Thur-Prod,centralus,Custom2-USAZ2-DevTest
Subscription-Moog-Commercial-Dev/Test,usaz2svdatkc01,RG-USAZ2-AUTOTIME-KEYCLOAK-DEV,Custom1-Tue-Prod,centralus,Custom1-USAZ2
Subscription-Moog-Commercial-Dev/Test,usaz2svqatkc01,RG-USAZ2-AUTOTIME-KEYCLOAK-QA,Custom1-Tue-Prod,centralus,Custom1-USAZ2
Subscription-Moog-Commercial-Dev/Test,usaz2svqatkc02,RG-USAZ2-AUTOTIME-KEYCLOAK-QA,Custom2-Thur-Prod,centralus,Custom2-USAZ2-DevTest
Subscription-Moog-Commercial-Dev/Test,usaz2svsatkc01,RG-USAZ2-AUTOTIME-KEYCLOAK-SB,Custom1-Tue-Prod,centralus,Custom1-USAZ2
Subscription-Moog-Commercial-Dev/Test,usaz2svsatkc02,RG-USAZ2-AUTOTIME-KEYCLOAK-SB,Custom2-Thur-Prod,centralus,Custom2-USAZ2-DevTest
Subscription-Moog-Commercial-Dev/Test,usaz2svdatsvc01,RG-USAZ2-AUTOTIME-SERVICES-DEV,Custom1-Tue-Prod,centralus,Custom1-USAZ2
Subscription-Moog-Commercial-Dev/Test,usaz2svqatsvc01,RG-USAZ2-AUTOTIME-SERVICES-QA,Custom1-Tue-Prod,centralus,Custom1-USAZ2
Subscription-Moog-Commercial-Dev/Test,usaz2svqatsvc02,RG-USAZ2-AUTOTIME-SERVICES-QA,Custom2-Thur-Prod,centralus,Custom2-USAZ2-DevTest
Subscription-Moog-Commercial-Dev/Test,usaz2svdatwebclk01,RG-USAZ2-AUTOTIME-WEBCLOCK-DEV,Custom1-Tue-Prod,centralus,Custom1-USAZ2
Subscription-Moog-Commercial-Dev/Test,usaz2svqatwebclk01,RG-USAZ2-AUTOTIME-WEBCLOCK-QA,Custom1-Tue-Prod,centralus,Custom1-USAZ2
Subscription-Moog-Commercial-Dev/Test,usaz2svqatwebclk02,RG-USAZ2-AUTOTIME-WEBCLOCK-QA,Custom2-Thur-Prod,centralus,Custom2-USAZ2-DevTest
Subscription-Moog-Commercial-Dev/Test,USAZ2SVSADFIDE1,RG-USAZ2-AZUREDATAFACTORY-SANDBOX,FAST1-Thur-NonProd,centralus,Fast1-USAZ2-DevTest
Subscription-Moog-Commercial-Dev/Test,usaz2svncis01,RG-USAZ2-CIS-TEST-NP,FAST1-Thur-NonProd,centralus,Fast1-USAZ2-DevTest
Subscription-Moog-Commercial-Dev/Test,usaz2nxws01,RG-USAZ2-CORPORATE-XEROX-WORKPLACE-APP-NP,FAST1-Thur-NonProd,centralus,Fast1-USAZ2-DevTest
Subscription-Moog-Commercial-Dev/Test,usaz2nxwsps01,RG-USAZ2-CORPORATE-XEROX-WORKPLACE-PRINTSERVER-NP,FAST1-Thur-NonProd,centralus,Fast1-USAZ2-DevTest
Subscription-Moog-Commercial-Dev/Test,usaz2svdfgwdv01,RG-USAZ2-DEV-DISTAPPS,FAST1-Thur-NonProd,centralus,Fast1-USAZ2-DevTest
Subscription-Moog-Commercial-Dev/Test,usaz2svhcmdv01,RG-USAZ2-DEV-DISTAPPS,FAST1-Thur-NonProd,centralus,Fast1-USAZ2-DevTest
Subscription-Moog-Commercial-Dev/Test,usaz2svidmd01,RG-USAZ2-DEV-IDM,FAST1-Thur-NonProd,centralus,Fast1-USAZ2-DevTest
Subscription-Moog-Commercial-Dev/Test,USAZ2SVUIORCD01,RG-USAZ2-DEV-RPA,FAST1-Thur-NonProd,centralus,Fast1-USAZ2-DevTest
Subscription-Moog-Commercial-Dev/Test,USAZ2SVUIWKSD01,RG-USAZ2-DEV-RPA,FAST1-Thur-NonProd,centralus,Fast1-USAZ2-DevTest
Subscription-Moog-Commercial-Dev/Test,USAZ2SVUIWKSD02,RG-USAZ2-DEV-RPA,FAST1-Thur-NonProd,centralus,Fast1-USAZ2-DevTest
Subscription-Moog-Commercial-Dev/Test,USAZ2SVUIWKSD03,RG-USAZ2-DEV-RPA,FAST1-Thur-NonProd,centralus,Fast1-USAZ2-DevTest
Subscription-Moog-Commercial-Dev/Test,USAZ2SVUIWKSD04,RG-USAZ2-DEV-RPA,FAST1-Thur-NonProd,centralus,Fast1-USAZ2-DevTest
Subscription-Moog-Commercial-Dev/Test,USAZ2SVUIWKSD05,RG-USAZ2-DEV-RPA,FAST1-Thur-NonProd,centralus,Fast1-USAZ2-DevTest
Subscription-Moog-Commercial-Dev/Test,USAZ2SVUIWKSD06,RG-USAZ2-DEV-RPA,FAST1-Thur-NonProd,centralus,Fast1-USAZ2-DevTest
Subscription-Moog-Commercial-Dev/Test,USAZ2SVUIWKSD07,RG-USAZ2-DEV-RPA,FAST1-Thur-NonProd,centralus,Fast1-USAZ2-DevTest
Subscription-Moog-Commercial-Dev/Test,USAZ2SVESARD01,RG-USAZ2-ESAR-DEV,FAST1-Thur-NonProd,centralus,Fast1-USAZ2-DevTest
Subscription-Moog-Commercial-Dev/Test,USAZ2SVOPDGWD01,RG-USAZ2-ON-PREM-DATA_GATEWAY,FAST1-Thur-NonProd,centralus,Fast1-USAZ2-DevTest
Subscription-Moog-Commercial-Dev/Test,usaz2nadb01,RG-USAZ2-POC-ADBRIDGE-TESTING-NP,SLOW1-Tue-Prod,centralus,Slow1-USAZ-DevTest
